date,state,county_identifier,facility_name,jail_id,est_pop_2019,primary_fips,bjs_juris_id,missing_date_ind,total_inmates,new_admissions,new_admissions_smooth,releases,releases_smooth,felony_releases,misd_releases,non_felony_or_misd_releases,releases_has_charge_class,felony_admissions,misd_admissions,non_felony_or_misd_admissions,admissions_has_charge_class,felony_recid_30,felony_recid_60,felony_recid_90,felony_recid_120,felony_recid_150,felony_recid_180,felony_recid_210,misd_recid_30,misd_recid_60,misd_recid_90,misd_recid_120,misd_recid_150,misd_recid_180,misd_recid_210,recid_30,recid_60,recid_90,recid_120,recid_150,recid_180,recid_210,num_felony,num_misd,num_non_felony_or_misd
1/18/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,92,2,2,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,26,14
1/19/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,94,2,2,4,4,1,1,2,4,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,52,28,14
1/20/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,92,2,2,1,1,0,1,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,28,13
1/21/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,92,1,1,6,6,2,2,2,6,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,2,2,2,2,2,3,51,28,13
1/22/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,92,6,6,3,3,1,1,1,3,0,3,3,6,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,49,29,14
1/23/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,96,7,7,6,6,0,4,2,6,0,6,1,7,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,3,3,3,3,3,3,48,34,14
1/24/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,95,5,5,3,3,1,2,0,3,1,1,3,5,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,49,31,15
1/25/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,97,5,5,2,2,1,1,0,2,1,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,30,18
1/26/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,99,4,4,10,10,1,6,3,10,0,3,1,4,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,2,2,48,32,19
1/27/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,95,6,6,2,2,1,0,1,2,3,3,0,6,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,2,51,29,15
1/28/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,93,0,0,2,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,29,14
